ID,Region,District,Garden,Layout,Floor,Size,Elevator,Year,Direction,Renovation,Price,PerPrice
20702,西城,阜成门,展览路,2室1厅,7,56,无电梯,1995,南北,精装,550,9.82143
20705,西城,牛街,南横西街96号院,2室1厅,6,58,无电梯,1985,南北,精装,535,9.22414
20711,西城,天宁寺,白菜湾四巷17号院,2室1厅,6,53,无电梯,1988,南北,精装,518,9.77359
20723,西城,六铺炕,六铺炕三区,3室1厅,6,73,无电梯,1992,南北,精装,995,13.6301
20728,西城,陶然亭,永安路小区,2室1厅,4,65,无电梯,1950,北,精装,650,10
20754,西城,牛街,法源寺西里小区,2室1厅,6,72,无电梯,1998,东西,精装,600,8.33333
20765,西城,马甸,新外大街甲4号院,2室1厅,5,58,无电梯,1980,南北,精装,810,13.9655
20768,西城,木樨地,西便门东里,2室1厅,6,61,无电梯,1986,南北,精装,583,9.55738
20771,西城,菜户营,鸭子桥路,3室1厅,6,65,无电梯,1980,西南,精装,530,8.15385
20779,西城,天宁寺,广安门外南街,2室1厅,6,53,无电梯,1986,东西,精装,510,9.62264
20781,西城,六铺炕,六铺炕三区,3室1厅,6,73,无电梯,1992,南北,精装,995,13.6301
20812,西城,牛街,法源寺西里小区,2室1厅,6,72,无电梯,1998,东西,精装,600,8.33333
20817,西城,马连道,马连道西里,2室1厅,5,53,无电梯,1976,南,精装,470,8.86792
20866,西城,德胜门,德胜里一区,2室1厅,5,57,无电梯,1980,南北,精装,850,14.9123
